"","Country","Happiness.Rank","Happiness.Score","Whisker.high","Whisker.low","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Generosity","Trust..Government.Corruption.","Dystopia.Residual","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Sex.ratio..m.per.100.f..2017.","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2005.prices.","GDP.per.capita..current.US..","Economy..Agriculture....of.GVA.","Economy..Industry....of.GVA.","Economy..Services.and.other.activity....of.GVA.","Employment..Agriculture....of.employed.","Employment..Industry....of.employed.","Employment..Services....of.employed.","Unemployment....of.labour.force.","Labour.force.participation..female.male.pop....","Agricultural.production.index..2004.2006.100.","Food.production.index..2004.2006.100.","International.trade..Exports..million.US..","International.trade..Imports..million.US..","International.trade..Balance..million.US..","Balance.of.payments..current.account..million.US..","Population.growth.rate..average.annual...","Urban.population....of.total.population.","Urban.population.growth.rate..average.annual...","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Population.age.distribution..0.14...60..years....","International.migrant.stock..000...of.total.pop..","Refugees.and.others.of.concern.to.UNHCR..in.thousands.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Primary.gross.enrol..ratio..f.m.per.100.pop..","Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Mobile.cellular.subscriptions..per.100.inhabitants..1","Individuals.using.the.Internet..per.100.inhabitants.","Threatened.species..number.","Forested.area....of.land.area.","CO2.emission.estimates..million.tons.tons.per.capita.","Energy.production..primary..Petajoules.","Energy.supply.per.capita..Gigajoules.","Pop..using.improved.drinking.water..urban.rural....","Pop..using.improved.sanitation.facilities..urban.rural....","Net.Official.Development.Assist..received....of.GNI."
"1","Norway",1,7.53700017929077,7.59444482058287,7.47955553799868,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,"NorthernEurope","386194",5305,14.5,101.8,386578,"1.6",74185.5,"1.8",34.6,63.5,"2.2","20.2","77.6","5.1","61.1/68.3",103,104,"89120","72473","16647","33746","1.2",80.5,"1.3","1.8","83.6/79.5","17.8/22.3","741.8/14.2","73.2","2.4",9.7,"4.4","7.4","100.3/100.5","111.1/114.7","91.5/62.8",39.6,"113.6","96.8",64,"33.2","47.6/9.2",8204,233,"100.0/100.0","98.0/98.3","-99",-99
"2","Denmark",2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,"NorthernEurope","42921",5734,135.1,99,301308,"1.6",53149.3,"1.2",22.9,75.8,"2.4","19.2","78.4","6.0","58.1/66.0",105,105,"94355","85133","9222","27582","0.5",87.7,"0.6","1.7","82.2/78.1","16.5/25.3","572.5/10.1","48.2","3.5",10.8,"3.6","8.6","100.7/102.3","133.4/128.3","96.3/69.7",37.4,"128.3","96.3",47,"14.4","33.5/5.9",666,119,"100.0/100.0","99.6/99.6","-99",-99
"3","Iceland",3,7.50400018692017,7.62203047305346,7.38596990078688,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,"NorthernEurope","103000",335,3.3,100.7,16780,"4.2",50936,"6.4",24,69.7,"4.0","17.7","78.2","3.6","70.3/77.2",117,117,"4450","5703","-1254","854","0.6",94.1,"1.3","2.0","83.8/80.6","20.1/20.1","37.5/11.4","0.5","1.6",8.9,"3.8","7.8","98.6/99.7","121.0/116.3","103.1/60.2",47.6,"114.0","98.2",27,"0.5","2.0/6.1",284,952,"100.0/100.0","98.7/100.0","-99",-99
"4","Switzerland",4,7.49399995803833,7.56177242040634,7.42622749567032,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,"WesternEurope","41291",8476,214.5,98.2,670790,"0.8",80831.1,"0.7",25.5,73.8,"3.5","20.4","76.1","4.6","62.5/74.5",106,106,"304691","269157","35534","77378","1.2",73.9,"1.1","1.5","84.8/80.5","14.9/24.1","2438.7/29.4","110.1","3.9",11.7,"4.1","5.1","103.8/104.1","99.4/103.0","58.5/56.9",32.5,"142.0","88.0",74,"31.6","35.3/4.3",552,126,"100.0/100.0","99.9/99.8","-99",-99
"5","Finland",5,7.4689998626709,7.52754207581282,7.41045764952898,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,"NorthernEurope","338440",5523,18.2,97.2,231960,"0.2",42148.1,"2.5",26.8,70.6,"4.2","22.0","73.8","8.9","54.5/61.7",101,101,"57326","60502","-3176","-979","0.4",84.2,"0.5","1.8","83.7/77.7","16.4/27.8","315.9/5.7","32.6","2.3",9.7,"3.0","7.2","101.4/101.7","156.3/142.8","95.6/79.3",42,"135.5","92.7",36,"73.1","47.3/8.6",757,257,"100.0/100.0","99.4/88.0","-99",-99
"6","Netherlands",6,7.3769998550415,7.42742584124207,7.32657386884093,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,"WesternEurope","41542",17036,505.2,99,750318,"2.0",44332.1,"1.8",20,78.2,"2.2","15.9","81.9","5.6","57.3/69.7",115,115,"511714","420969","90745","65129","0.3",90.5,"1.0","1.7","83.1/79.4","16.4/25.0","1979.5/11.7","116.3","3.5",10.9,"3.4","5.5","104.4/105.0","136.3/134.7","82.5/74.7",38,"123.5","93.1",40,"11.1","167.3/9.9",2447,178,"100.0/100.0","97.5/99.9","-99",-99
"7","Canada",7,7.31599998474121,7.38440283536911,7.24759713411331,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,"NorthernAmerica","9984670",36624,4,98.5,1552808,"0.9",43205.6,"1.8",28.6,69.6,"2.1","19.5","78.4","7.1","60.7/69.9",109,109,"388911","402954","-14043","-53083","1.0",81.8,"1.2","1.6","83.8/79.7","16.0/23.5","7835.5/21.8","155.8","4.7",10.4,"2.5","5.3","101.1/100.1","110.0/109.8",".../...",26.3,"81.9","88.5",122,"38.2","537.2/15.1",19276,324,"100.0/99.0","100.0/99.0","-99",-99
"8","New Zealand",8,7.31400012969971,7.3795104418695,7.24848981752992,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,"Oceania","268107",4706,17.9,96.7,173417,"3.1",38294.3,"6.5",23,70.6,"5.9","21.4","72.6","5.5","62.1/72.8",116,118,"33833","36423","-2589","-5501","1.1",86.3,"1.0","2.0","83.1/79.5","19.8/20.8","1039.7/23.0","1.7","4.4",11,"2.9","6.4","99.1/99.6","119.9/113.4","96.7/71.6",34.2,"121.8","88.2",199,"38.6","34.7/7.7",783,207,"100.0/100.0","-99","-99",-99
"9","Sweden",9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,"NorthernEurope","438574",9911,24.2,100.2,495694,"4.1",50687.5,"1.3",26.3,72.4,"1.8","18.2","79.9","7.3","60.7/68.0",100,100,"139574","140838","-1263","23250","0.8",85.8,"0.8","1.9","83.7/80.0","17.5/25.5","1639.8/16.8","348.5","2.4",11.9,"4.1","7.7","125.6/120.6","150.0/131.5","75.7/49.6",43.6,"130.4","90.6",54,"68.9","43.4/4.5",1428,206,"100.0/100.0","99.2/99.6","-99",-99
"10","Australia",10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,"Oceania","7692060",24451,3.2,99.3,1230859,"2.4",51352.2,"2.5",26.5,71.1,"2.7","21.2","76.1","5.5","58.4/70.7",111,111,"189630","189406","224","-57746","1.5",89.4,"1.5","1.9","84.4/80.2","19.0/21.0","6763.7/28.2","58.2","3.9",9.4,"3.4","5.2","102.1/102.3","133.6/141.3","106.3/75.4",28.7,"132.8","84.6",948,"16.2","361.3/15.3",15282,222,"100.0/100.0","100.0/100.0","-99",-99
"11","Israel",11,7.21299982070923,7.27985325649381,7.14614638492465,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2.80175733566284,"WesternAsia","22072",8322,384.5,98.7,299413,"2.5",37129.4,"1.3",21.2,77.5,"1.0","17.9","81.0","5.9","58.5/69.0",112,112,"60571","65803","-5232","13642","1.6",92.1,"1.4","3.0","83.7/80.0","27.9/16.1","2011.7/24.9","44.7","3.4",7.8,"3.6","5.8","105.1/104.4","103.0/102.0","75.5/54.6",27.5,"133.5","78.9",174,"7.5","64.6/8.1",313,119,"100.0/100.0","100.0/100.0","-99",-99
"12","Costa Rica",12,7.0789999961853,7.16811166629195,6.98988832607865,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2.89863920211792,"CentralAmerica","51100",4906,96.1,100.1,52958,"3.7",11015,"5.1",21.5,73.4,"11.6","19.1","69.3","8.6","46.9/76.5",127,129,"9908","15322","-5414","-2493","1.1",76.8,"2.7","1.9","81.7/76.7","21.6/13.6","421.7/8.8","10.1","9.3",9.3,"1.2","7.2","109.5/110.1","125.6/120.7","60.9/46.6",35.1,"150.7","59.8",340,"53.4","7.8/1.6",110,44,"99.6/91.9","95.2/92.3","0.22",-99
"13","Austria",13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,"WesternEurope","83871",8736,106,96.2,376967,"1.0",44117.7,"1.3",28.3,70.4,"4.7","25.6","69.7","6.2","54.6/65.8",108,108,"145503","149299","-3795","7020","0.6",66,"0.4","1.4","83.5/78.4","14.1/25.1","1492.4/17.5","166.4","3.3",11.2,"5.2","5.5","102.2/103.7","97.6/102.4","89.2/74.3",30.6,"157.4","83.9",118,"46.9","58.7/6.9",505,158,"100.0/100.0","100.0/100.0","-99",-99
"14","United States",14,6.99300003051758,7.07465674757957,6.91134331345558,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Ireland",15,6.97700023651123,7.04335166752338,6.91064880549908,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,1.77386903762817,"NorthernEurope","69797",4762,69.1,98.4,283716,"26.3",60513.6,"1.0",41.7,57.3,"4.8","17.7","77.4","7.6","51.9/67.1",102,102,"129315","76997","52318","28967","0.3",63.2,"1.6","2.0","83.0/78.7","21.6/19.1","746.3/15.9","10.5","3.4",7.8,"2.8","5.3","102.0/100.9","129.4/125.6","87.6/80.1",22.2,"103.7","80.1",50,"10.9","34.1/7.3",84,114,"97.9/97.8","89.1/92.9","-99",-99
"16","Germany",16,6.95100021362305,7.00538156926632,6.89661885797977,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2.01576995849609,"WesternEurope","357376",82114,235.6,97,3363600,"1.7",41686.2,"0.6",30.5,68.9,"1.4","27.5","71.2","4.2","54.5/66.1",111,111,"1340752","1060672","280080","279969","0.2",75.3,"0.2","1.4","82.9/77.9","13.1/28.0","12005.7/14.9","1052.1","3.4",11.3,"4.1","5.0","104.7/105.2","99.6/105.6","66.8/69.7",37,"116.7","87.6",116,"32.7","719.9/8.9",5004,158,"100.0/100.0","99.3/99.0","-99",-99
"17","Belgium",17,6.89099979400635,6.95582075044513,6.82617883756757,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2.12421035766602,"WesternEurope","30528",11429,377.5,97.3,455107,"1.5",40277.8,"0.7",22.2,77.1,"1.2","21.2","77.6","8.3","48.1/58.9",108,107,"398033","372713","25321","1936","0.6",97.9,"0.5","1.8","83.0/78.0","17.1/24.6","1387.9/12.3","63.8","3.5",10.6,"3.0","6.6","104.2/104.2","177.7/156.4","85.4/65.0",38,"115.7","85.1",37,"22.6","93.4/8.3",520,196,"100.0/100.0","99.5/99.4","-99",-99
"18","Luxembourg",18,6.86299991607666,6.92368609987199,6.80231373228133,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,"WesternEurope","2586",584,225.3,101,56802,"3.5",100160.8,"0.2",12.1,87.7,"1.3","10.2","88.5","5.6","52.0/65.5",98,98,"12838","19124","-6285","2962","2.2",90.2,"1.7","1.5","83.4/78.8","16.4/19.6","249.3/44.0","4.2","3.4",6.9,"2.9","4.1","97.3/96.9","103.5/101.1","20.7/18.2",28.3,"148.5","97.3",11,"33.5","9.7/17.3",6,290,"100.0/100.0","97.5/98.5","-99",-99
"19","United Kingdom",19,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,"NorthernEurope","242495",66182,273.6,97.4,2858003,"2.2",44162.4,"0.7",19.4,79.9,"1.2","18.4","80.4","5.0","57.0/68.6",108,108,"415856","635570","-219713","-122571","0.6",82.6,"0.9","1.9","82.8/79.0","17.7/23.9","8543.1/13.2","151.7","4.1",9.1,"2.8","5.7","108.1/108.4","130.4/125.3","64.1/49.0",30,"125.8","92.0",102,"12.9","419.8/6.5",4482,116,"100.0/100.0","99.1/99.6","-99",-99
"20","Chile",20,6.65199995040894,6.73925056010485,6.56474934071302,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2.50958585739136,"SouthAmerica","756102",18055,24.3,98.2,240796,"2.3",13416.2,"3.9",32.8,63.3,"9.6","22.9","67.5","6.8","50.7/74.7",111,111,"59884","58804","1080","-4761","0.9",89.5,"1.1","1.8","81.3/76.2","20.3/16.0","469.4/2.6","3.7","7.4",7.8,"...","4.9","100.0/103.3","101.3/100.0","94.4/83.0",15.8,"129.5","64.3",197,"23.4","82.6/4.7",540,85,"99.7/93.3","100.0/90.9","0.02",-99
"21","United Arab Emirates",21,6.64799976348877,6.72204730376601,6.57395222321153,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,"WesternAsia","83600",9400,112.4,262.4,370296,"3.8",40438.8,"0.7",44.9,54.4,"3.5","21.1","75.4","3.7","41.7/90.8",70,70,"195613","201908","-6296","-99","2.0",85.5,"2.9","1.8","78.2/76.0","13.9/2.4","8095.1/88.4","1.3","6.2",3.6,"1.6","-99","116.0/116.7","-99","-99",20,"187.4","91.2",56,"3.8","211.4/23.2",8642,366,"99.6/100.0","98.0/95.2","-99",-99
"22","Brazil",22,6.63500022888184,6.72546950161457,6.5445309561491,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2.76926708221436,"SouthAmerica","8515767",209288,25,96.6,1772591,"-3.8",8528.3,"5.2",22.7,72,"15.2","21.5","63.2","12.4","56.0/78.2",135,136,"185235","137552","47683","-58882","0.9",85.7,"1.2","1.8","78.4/71.0","21.7/12.6","713.6/0.3","41.1","15.8",8.3,"1.9","6.0","113.8/116.8","102.2/97.2","59.3/42.4",10.7,"126.6","59.1",990,"59.2","529.8/2.6",10948,61,"100.0/87.0","88.0/51.5","0.06",-99
"23","Czech Republic",23,6.60900020599365,6.68386246263981,6.5341379493475,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,2.45186185836792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Argentina",24,6.59899997711182,6.69008508607745,6.50791486814618,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2.61400532722473,"SouthAmerica","2780400",44271,16.2,95.9,632343,"2.4",14564.5,"6.0",27.8,66.2,"2.0","24.8","73.1","6.5","48.6/74.4",119,119,"57733","55610","2124","-15944","1.0",91.8,"1.0","2.3","79.8/72.2","24.9/15.4","2086.3/4.8","5.0","13.7",4.8,"3.8","5.3","109.8/110.2","110.3/103.4","102.9/63.5",38.9,"143.9","69.4",256,"10.0","204.0/4.7",3167,85,"99.0/100.0","96.2/98.3","0.01",-99
"25","Mexico",25,6.57800006866455,6.67114890769124,6.48485122963786,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2.83715486526489,"CentralAmerica","1964375",129163,66.4,99.2,1140724,"2.5",8980.9,"3.6",36,60.4,"13.4","25.2","61.3","4.1","45.5/79.5",120,120,"373883","387064","-13181","-33216","1.4",79.2,"1.6","2.3","78.9/74.0","26.7/10.1","1193.2/0.9","5.9","18.8",6.3,"2.1","5.3","103.2/103.6","93.5/87.7","30.0/29.9",42.6,"85.3","57.4",1162,"34.0","480.3/3.8",8514,62,"97.2/92.1","88.0/74.5","0.03",-99
"26","Singapore",26,6.57200002670288,6.63672306910157,6.50727698430419,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,1.21636199951172,"South-easternAsia","719",5709,8155.5,97.7,292734,"2.0",52239,"~0.0",26.4,73.6,"0.3","17.0","82.6","2.0","57.8/76.1",112,112,"329871","283009","46862","57922","1.7",100,"2.0","1.2","84.5/80.1","15.0/19.5","2543.6/45.4","~0.0","2.1",4.9,"1.9","2.9","-99","-99","-99",23.8,"146.1","82.1",293,"23.1","56.4/10.2",27,209,"100.0/...","100.0/...","-99",-99
"27","Malta",27,6.52699995040894,6.59839677289128,6.45560312792659,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,1.55686283111572,"SouthernEurope","315",431,1346.4,100.9,9747,"6.2",23280.7,"1.4",15,83.6,"1.2","20.9","77.9","5.4","39.4/65.7",96,96,"4039","7182","-3143","539","0.5",95.4,"0.5","1.4","82.0/78.6","14.4/26.1","41.4/9.9","8.1","4.8",9.7,"3.9","7.8","104.7/102.2","98.1/91.7","55.2/40.3",12.5,"129.3","76.2",39,"1.1","2.3/5.6",1,78,"100.0/100.0","100.0/100.0","-99",-99
"28","Uruguay",28,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,"SouthAmerica","173626",3457,19.8,93.5,53442,"1.0",15573.8,"6.8",28,65.2,"8.7","20.5","70.8","8.8","55.6/76.3",129,130,"6964","8137","-1173","-1141","0.3",95.3,"0.5","2.0","80.4/73.2","21.1/19.5","71.8/2.1","0.5","12.7",8.6,"...","4.4","107.3/109.8","100.0/90.3",".../...",20.2,"160.2","64.6",106,"10.4","6.7/2.0",113,58,"100.0/93.9","96.6/92.6","0.04",-99
"29","Guatemala",29,6.4539999961853,6.56687397271395,6.34112601965666,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,2.89389109611511,"CentralAmerica","108889",16914,157.8,96.9,63794,"4.1",3903.5,"10.8",27.2,62,"32.0","18.5","49.4","2.4","41.7/84.0",158,158,"10572","16987","-6415","-96","2.1",51.6,"3.4","3.2","75.6/69.2","35.1/6.9","76.4/0.5","1.8","26.9",6.2,"...","3.0","99.8/103.8","63.3/67.9","23.5/20.2",12.7,"111.5","27.1",290,"33.4","18.3/1.1",327,32,"98.4/86.8","77.5/49.3","0.66",-99
"30","Panama",30,6.4520001411438,6.55713071614504,6.34686956614256,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,"CentralAmerica","75320",4099,55.1,100.4,52132,"5.8",13268.1,"2.8",27.1,70,"14.5","19.6","65.9","6.2","50.5/80.4",117,118,"636","11697","-11061","-3377","1.7",66.6,"2.1","2.6","80.5/74.3","27.4/11.4","184.7/4.7","21.5","15.2",8,"1.6","3.2","100.9/103.5","78.3/72.9","46.5/31.2",18.3,"174.2","51.2",383,"62.3","8.8/2.3",31,35,"97.7/88.6","83.5/58.0","0.02",-99
"31","France",31,6.44199991226196,6.51576780244708,6.36823202207685,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,"WesternEurope","551500",64980,118.7,96.7,2418946,"1.3",36304.2,"1.7",19.5,78.8,"2.7","20.5","76.8","9.8","50.3/59.4",103,103,"488885","560555","-71670","-4861","0.4",79.5,"0.8","2.0","85.0/78.8","18.1/25.7","7784.4/12.1","356.2","3.4",11.5,"3.2","5.5","105.0/105.7","111.2/110.1","71.0/57.9",25.8,"102.6","84.7",278,"30.8","303.3/4.7",5694,158,"100.0/100.0","98.6/98.9","-99",-99
"32","Thailand",32,6.42399978637695,6.50911685571074,6.33888271704316,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,"South-easternAsia","513120",69038,135.1,95.2,395168,"2.8",5814.8,"9.1",35.7,55.1,"34.0","22.7","43.3","0.6","62.7/79.8",129,126,"213927","195666","18260","32149","0.4",50.4,"3.0","1.5","78.4/70.8","17.3/16.9","3913.3/5.8","554.1","11.2",4.1,"...","4.1","99.2/106.1","125.3/132.6","57.3/40.5",4.9,"125.8","39.3",611,"32.0","316.2/4.7",3338,83,"97.6/98.0","89.9/96.1","0.02",-99
"33","Taiwan Province of China",33,6.42199993133545,6.49459602192044,6.34940384075046,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2.1266074180603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Spain",34,6.40299987792969,6.4710548453033,6.33494491055608,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,1.92775774002075,"SouthernEurope","505944",46354,92.9,96.2,1192955,"3.2",25865.4,"2.6",23.6,73.7,"3.9","19.2","76.8","18.3","52.1/64.2",102,102,"281777","302539","-20762","16208","-0.2",79.6,"0.7","1.3","85.3/79.6","14.7/25.3","5853.0/12.7","28.8","2.9",9,"3.8","4.3","105.6/104.5","129.6/130.0","97.1/82.5",39.1,"107.9","78.7",617,"36.8","234.0/5.1",1432,102,"100.0/100.0","99.8/100.0","-99",-99
"35","Qatar",35,6.375,6.56847681432962,6.18152318567038,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,1.1454644203186,"WesternAsia","11607",2639,227.3,301.2,164641,"3.6",73653.4,"0.2",56.4,43.5,"1.2","54.1","44.7","0.3","53.1/93.6",154,154,"57254","32058","25196","13751","6.6",99.2,"6.0","2.0","79.4/76.8","13.9/2.8","1687.6/75.5","1.5","7.2",2.2,"2.0","3.6","103.6/102.4","103.6/82.0","43.9/6.3",0,"153.6","92.9",39,"0.0","107.9/49.7",9166,846,"100.0/100.0","98.0/98.0","-99",-99
"36","Colombia",36,6.35699987411499,6.45202005416155,6.26197969406843,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2.61606812477112,"SouthAmerica","1141748",49066,44.2,96.8,292080,"3.1",6056.1,"6.8",34,59.2,"13.5","16.6","69.9","10.5","58.0/79.8",114,115,"31045","44831","-13786","-18922","1.0",76.4,"1.7","1.9","77.4/70.2","23.5/11.6","133.1/0.3","7127.0","17.9",7.2,"...","4.5","111.6/115.4","101.5/94.8","59.9/51.5",18.7,"115.7","55.9",835,"52.8","84.1/1.8",5380,31,"96.8/73.8","85.2/67.9","0.47",-99
"37","Saudi Arabia",37,6.3439998626709,6.44416661202908,6.24383311331272,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,2.0654296875,"WesternAsia","2206714",32938,15.3,132.9,653219,"3.4",20710.6,"2.3",46,51.8,"5.9","22.7","71.4","5.5","20.0/78.5",96,96,"182329","135904","46426","-56724","2.8",83.1,"2.1","2.7","75.6/72.7","25.2/5.6","10185.9/32.3","70.2","13.0",4.7,"2.6","...","111.1/107.9","93.7/122.6","61.8/64.4",19.9,"176.6","69.6",131,"0.5","601.0/19.5",25904,287,"97.0/97.0","100.0/100.0","...",-99
"38","Trinidad and Tobago",38,6.16800022125244,6.38153389066458,5.95446655184031,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.325296461582184,0.00896481610834599,2.05324745178223,"Caribbean","5127",1369,266.9,97.1,25927,"0.2",19062.9,"0.5",42.5,57,"4.1","31.6","64.3","4.2","52.4/73.2",95,95,"4576","4826","-249","...","0.5",8.4,"-1.2","1.8","73.8/66.9","20.7/15.0","49.9/3.7","0.2","24.8",5.9,"...","...",".../...",".../...",".../...",31,"157.7","69.2",69,"45.4","46.3/34.2",1663,607,"95.1/95.1","91.5/91.5","...",-99
"39","Kuwait",39,6.10500001907349,6.1919569888711,6.01804304927588,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,1.64042520523071,"WesternAsia","17818",4136,232.1,134.9,114054,"1.8",29303.9,"0.6",48.7,50.7,"2.6","27.3","70.1","2.2","47.7/83.6",199,199,"46238","30825","15413","8584","5.4",98.3,"3.6","2.0","75.5/73.5","21.1/4.9","2866.1/73.6","94.7","8.4",3,"1.9","...","103.0/102.4","102.7/88.2","33.1/20.4",3.1,"231.8","82.1",49,"0.4","95.4/25.4",6941,380,"99.0/99.0","100.0/100.0","-99",-99
"40","Slovakia",40,6.09800004959106,6.1773484121263,6.01865168705583,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2.09777665138245,"EasternEurope","49035",5448,113.3,94.6,87268,"3.8",16082.5,"3.7",34.8,61.5,"3.3","34.5","62.2","9.9","51.4/68.0",97,97,"77565","75156","2409","193","0.1",53.6,"-0.3","1.4","79.8/72.6","15.4/21.8","177.2/3.3","2.7","5.7",8.1,"3.4","4.2","99.2/100.2","92.8/92.1","64.6/41.8",20,"122.3","85.0",54,"40.3","30.7/5.6",264,121,"100.0/100.0","99.4/98.2","-99",-99
"41","Bahrain",41,6.08699989318848,6.17898906782269,5.99501071855426,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,1.65614938735962,"WesternAsia","771",1493,1963.9,168.3,31126,"2.9",22600.2,"0.3",40.7,59,"1.0","33.4","65.6","1.3","38.5/84.9",167,167,"12892","14749","-1856","1124","2.0",88.8,"1.7","2.1","77.5/75.6","19.7/4.6","704.1/51.1","0.4","6.9",5,"0.9","2.7","101.8/100.6","101.9/102.4","59.4/30.9",7.5,"185.3","93.5",36,"0.8","31.3/23.0",961,413,"100.0/100.0","99.2/99.2","-99",-99
